행정구역(시군구)별,2020. 04,2020. 04,2020. 04
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명)
영천시,101828,51771,50057
상주시,98644,48383,50261
문경시,71382,34989,36393
경산시,263375,132633,130742
군위군,23534,12018,11516
의성군,52236,25606,26630
청송군,25291,12636,12655
영양군,16844,8317,8527
영덕군,36845,17498,19347
청도군,42684,20937,21747
고령군,31910,16308,15602
성주군,43627,22565,21062
칠곡군,115780,60414,55366
예천군,55572,27302,28270
봉화군,31889,16050,15839
울진군,48834,24410,24424
울릉군,9269,5049,4220
경상남도,3353380,1688178,1665202
창원시,1041553,527820,513733
의창구,262241,133498,128743
성산구,217948,111389,106559
마산합포구,175504,87317,88187
마산회원구,193101,96996,96105
진해구,192759,98620,94139
진주시,347578,172050,175528
통영시,130221,65470,64751
사천시,111365,56119,55246
김해시,542929,274576,268353
밀양시,105201,51541,53660
거제시,247427,129950,117477
양산시,351383,176363,175020
의령군,26979,13173,13806
함안군,64959,32912,32047
창녕군,61889,30770,31119
고성군,51918,26053,25865
남해군,43223,20795,22428
하동군,45753,22788,22965
산청군,35223,17276,17947
함양군,39377,18986,20391
거창군,61700,30067,31633
합천군,44702,21469,23233
제주특별자치도,670595,337119,333476
제주시,489466,245486,243980
서귀포시,181129,91633,89496
