"code" "movie_title" "point"
"137" "18847" "타이타닉" "9.24"
"138" "41375" "신데렐라 맨" "9.24"
"139" "140711" "보루토 - 나루토 더 무비" "9.24"
"140" "158578" "흑집사 : 북 오브 더 아틀란틱" "9.24"
"141" "10101" "로마의 휴일" "9.24"
"142" "19128" "뮬란" "9.24"
"143" "29059" "피아니스트의 전설" "9.24"
"144" "48602" "엽문" "9.24"
"145" "75216" "명탐정 코난: 천공의 난파선" "9.24"
"146" "79435" "크루즈 패밀리" "9.23"
"147" "31788" "마이너리티 리포트" "9.23"
"148" "17903" "아름다운 비행" "9.23"
"149" "68502" "갓파 쿠와 여름방학을" "9.23"
"150" "34093" "오아시스" "9.23"
"151" "30897" "리멤버 타이탄" "9.23"
"152" "50672" "킹콩을 들다" "9.23"
"153" "10003" "빽 투 더 퓨쳐 2" "9.23"
"154" "44529" "해바라기" "9.23"
"155" "16218" "쿨 러닝" "9.23"
"156" "130013" "님아, 그 강을 건너지 마오" "9.23"
"157" "10448" "오즈의 마법사" "9.23"
"158" "34010" "뷰티풀 마인드" "9.23"
"159" "83893" "광해, 왕이 된 남자" "9.22"
"160" "16217" "칼리토" "9.22"
"161" "10072" "대부 2" "9.22"
"162" "19527" "이집트 왕자" "9.22"
"163" "18781" "이웃집 토토로" "9.22"
"164" "63513" "시간을 달리는 소녀" "9.22"
"165" "10058" "벤허" "9.22"
"166" "18817" "8월의 크리스마스" "9.22"
"167" "22082" "밴디트" "9.22"
"168" "142632" "미스 슬로운" "9.22"
"169" "63403" "타인의 삶" "9.21"
"170" "18610" "콘택트" "9.21"
"171" "71509" "아저씨" "9.21"
"172" "18542" "서유기 - 월광보합" "9.21"
"173" "68031" "똥파리" "9.21"
"174" "10314" "마지막 황제" "9.21"
"175" "19074" "가타카" "9.21"
"176" "24542" "미이라" "9.21"
"177" "10217" "로보캅" "9.21"
"178" "52515" "인셉션" "9.21"
"179" "18552" "페이스 오프" "9.21"
"180" "10022" "록키 2" "9.21"
"181" "38091" "나비 효과" "9.21"
"182" "37486" "스쿨 오브 락" "9.20"
"183" "10688" "뻐꾸기 둥지 위로 날아간 새" "9.20"
"184" "39436" "말아톤" "9.20"
"185" "142305" "핵소 고지" "9.20"
"186" "11003" "천장지구" "9.20"
"187" "30688" "해리 포터와 마법사의 돌" "9.20"
"188" "75378" "파수꾼" "9.20"
"189" "47152" "테이큰" "9.20"
"190" "17486" "크림슨 타이드" "9.19"
"191" "51143" "과속스캔들" "9.19"
"192" "10561" "대부 3" "9.19"
"193" "51462" "그랜 토리노" "9.19"
"194" "30306" "시월애" "9.19"
"195" "38227" "첫 키스만 50번째" "9.19"
"196" "10600" "빅" "9.19"
"197" "10980" "분노의 역류" "9.19"
"198" "10071" "대부" "9.19"
"199" "58088" "라디오 스타" "9.19"
"200" "12393" "시스터 액트" "9.19"
"201" "146504" "우리들" "9.19"
"202" "28677" "그린 마일" "9.19"
"203" "10740" "JFK" "9.19"
"204" "148338" "동급생" "9.19"
"205" "10440" "취권" "9.18"
"206" "17111" "보디가드" "9.18"
"207" "94594" "할머니는 일학년" "9.18"
"208" "10110" "영웅본색" "9.18"
"209" "18934" "마틸다" "9.18"
"210" "12324" "어 퓨 굿 맨" "9.18"
"211" "24194" "아메리칸 히스토리 X" "9.18"
"212" "17131" "마스크" "9.18"
"213" "17796" "일 포스티노" "9.17"
"214" "19335" "해피 투게더" "9.17"
"215" "66801" "식코" "9.17"
"216" "10046" "빠삐용" "9.17"
"217" "13042" "도망자" "9.17"
"218" "32610" "공공의 적" "9.17"
"219" "10018" "이티" "9.17"
"220" "135843" "귀향" "9.17"
"221" "19469" "네고시에이터" "9.17"
"222" "66724" "짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!" "9.17"
"223" "75508" "인사이드 잡" "9.17"
"224" "63156" "체인질링" "9.17"
"225" "88793" "말하는 건축가" "9.17"
"226" "34497" "하치 이야기" "9.17"
"227" "31148" "맨 오브 오너" "9.17"
"228" "34522" "캐치 미 이프 유 캔" "9.16"
"229" "39857" "코치 카터" "9.16"
"230" "64128" "비상" "9.16"
"231" "31110" "아름다운 세상을 위하여" "9.16"
"232" "36666" "태극기 휘날리며" "9.15"
"233" "153621" "댄서" "9.15"
"234" "10050" "싸이코" "9.15"
"235" "10609" "7인의 사무라이" "9.15"
"236" "11295" "파워 오브 원" "9.15"
"237" "87308" "가디언즈" "9.14"
"238" "154379" "내 어깨 위 고양이, 밥" "9.14"
"239" "16998" "후크" "9.14"
"240" "31827" "헤드윅" "9.14"
"241" "130849" "모아나" "9.14"
"242" "13957" "사랑의 블랙홀" "9.14"
"243" "37880" "피터팬" "9.14"
"244" "65463" "즐거운 인생" "9.14"
"245" "92075" "어바웃 타임" "9.14"
"246" "17942" "제리 맥과이어" "9.14"
"247" "19068" "투캅스 3" "9.14"
"248" "10173" "사랑과 영혼" "9.14"
"249" "10039" "플래툰" "9.14"
"250" "10061" "프레데터" "9.14"
"251" "143495" "설리: 허드슨강의 기적" "9.14"
"252" "10006" "스타워즈 에피소드 5 - 제국의 역습" "9.14"
"253" "71987" "스텝 업 3D" "9.13"
